,path,link,name,dvornik
0,"Acura,CSX,(05-09)",https://avto-dvorniki.ru/car/acura/csx/0648/,Стеклоочистители для Acura CSX (05-09),",Комплект Hella Dyna Blade (WBU26+WBU24),Комплект Trico Ice (ICE650+ICE600),Комплект Denso Hybrid (DUR-065L+DUR-060L),Комплект Heyner Hybrid (HG65+HG60),Комплект Hella Razor Hybrid (26+24),Комплект Alca Winter (AW65+AW60)"
1,"Acura,ILX,(15-)",https://avto-dvorniki.ru/car/acura/ilx/0649/,Стеклоочистители для Acura ILX (15-),",Комплект Trico Ice (ICE650+ICE480),Комплект Alca Super Flat (ASF65+ASF48),Комплект Heyner Hybrid (HG65+HG48),Комплект Alca Winter (AW65+AW48),Комплект Hella Dyna Blade (WBU26+WBU19)"
2,"Acura,Integra,(93-01)",https://avto-dvorniki.ru/car/acura/integra/0647/,Стеклоочистители для Acura Integra (93-01),",Комплект Hella Razor Hybrid (22+18),Комплект Trico Ice (ICE550+ICE450),Комплект Denso Hybrid (DUR-055L+DUR-045L),Комплект Alca Super Flat (ASF56+ASF45),Комплект Heyner Hybrid (HG56+HG45),Комплект Alca Winter (AW56+AW45),Комплект Trico NeoForm (NF550+NF450),Комплект Hella Dyna Blade (WBU22+WBU18),Комплект Trico Force (TF550L+TF450L)"
3,"Acura,MDX,3 пок., (14-)",https://avto-dvorniki.ru/car/acura/mdx/0641/,"Стеклоочистители для Acura MDX 3 пок., (14-)",",Комплект Trico Ice (ICE650+ICE500),Комплект Hella Dyna Blade (WBU26+WBU20)"
4,"Acura,MDX,2 пок., (06-13)",https://avto-dvorniki.ru/car/acura/mdx/0640/,"Стеклоочистители для Acura MDX 2 пок., (06-13)",",Комплект Bosch AeroTwin (AR26U+AR21U),Комплект Denso Hybrid (DUR-065L+DUR-053L),Комплект Trico Ice (ICE650+ICE530),Комплект Alca Super Flat (ASF65+ASF53),Комплект Heyner Hybrid (HG65+HG53),Комплект Alca Winter (AW65+AW53),Комплект Trico NeoForm (NF650+NF530),Комплект Hella Razor Hybrid (26+21),Комплект Hella Dyna Blade (WBU26+WBU21),Комплект SWF VisioNext (119865+119853)"
5,"Acura,MDX,1 пок., (00-06)",https://avto-dvorniki.ru/car/acura/mdx/0639/,"Стеклоочистители для Acura MDX 1 пок., (00-06)",",Комплект Bosch AeroTwin AR801S,Комплект Trico Ice (ICE600+ICE530),Комплект Denso Hybrid (DUR-060L+DUR-053L),Комплект Heyner Hybrid (HG60+HG53),Комплект Trico NeoForm (NF600+NF530),Комплект Hella Razor Hybrid (24+21),Комплект SWF VisioNext (119860+119853),Комплект Hella Dyna Blade (WBU24+WBU21),Комплект Trico Force (TF600L+TF530L)"
6,"Acura,RDX,2 пок., (12-)",https://avto-dvorniki.ru/car/acura/rdx/0643/,"Стеклоочистители для Acura RDX 2 пок., (12-)",",Комплект Bosch AeroTwin AR653S,Комплект Trico Ice (ICE650+ICE400),Комплект Denso Hybrid (DUR-065L+DU-040L),Комплект SWF VisioFlex 119780,Комплект Alca Super Flat (ASF65+ASF40),Комплект Heyner Hybrid (HG65+HG40),Комплект Hella Razor Hybrid (26+16),Комплект SWF VisioNext (119865+119840),Комплект Trico NeoForm (NF650+NF400),Комплект Hella Dyna Blade (WBU26+WBU16)"
7,"Acura,RDX,1 пок., (06-12)",https://avto-dvorniki.ru/car/acura/rdx/0642/,"Стеклоочистители для Acura RDX 1 пок., (06-12)",",Комплект Bosch AeroTwin (AR26U+AR16U),Комплект Bosch AeroTwin AR653S,Комплект Trico Ice (ICE650+ICE400),Комплект Denso Hybrid (DUR-065L+DU-040L),Комплект SWF VisioFlex 119780,Комплект Alca Super Flat (ASF65+ASF40),Комплект Heyner Hybrid (HG65+HG40),Комплект Hella Razor Hybrid (26+16),Комплект SWF VisioNext (119865+119840),Комплект Alca Winter (AW65+AW40),Комплект Trico NeoForm (NF650+NF400),Комплект Hella Dyna Blade (WBU26+WBU16)"
8,"Acura,RSX,(01-06)",https://avto-dvorniki.ru/car/acura/rsx/0645/,Стеклоочистители для Acura RSX (01-06),",Комплект Hella Razor Hybrid (24+20),Комплект Trico Ice (ICE600+ICE500),Комплект Denso Hybrid (DUR-060L+DUR-050L),Комплект Heyner Hybrid (HG60+HG50),Комплект Trico NeoForm (NF600+NF500),Комплект Hella Dyna Blade (WBU24+WBU20)"
9,"Acura,TL,3 пок., (03-08)",https://avto-dvorniki.ru/car/acura/tl/1140/,"Стеклоочистители для Acura TL 3 пок., (03-08)",",Комплект Bosch AeroTwin AR813S,Комплект Bosch AeroTwin (AR26U+AR18U),Комплект Alca Super Flat (ASF65+ASF45),Комплект Heyner Hybrid (HG65+HG45),Комплект Heyner All Seasons (HAS65+HAS45),Комплект Hella Razor Hybrid (26+18),Комплект Alca Winter (AW65+AW45),Комплект Trico NeoForm (NF650+NF450)"
10,"Acura,TL,2 пок., (98-03)",https://avto-dvorniki.ru/car/acura/tl/0646/,"Стеклоочистители для Acura TL 2 пок., (98-03)",",Комплект Bosch AeroTwin AR607S,Комплект Hella Razor Hybrid (24+19),Комплект Bosch AeroTwin (AR24U+AR19U),Комплект Trico Ice (ICE600+ICE480),Комплект Denso Hybrid (DUR-060L+DUR-048L),Комплект Heyner Hybrid (HG60+HG48),Комплект Alca Winter (AW60+AW48),Комплект Trico NeoForm (NF600+NF480),Комплект SWF VisioFlex 119762,Комплект Hella Dyna Blade (WBU24+WBU19),Комплект Trico Force (TF600L+TF480L)"
11,"Acura,TSX,CL (03-08)",https://avto-dvorniki.ru/car/acura/tsx/0638/,Стеклоочистители для Acura TSX CL (03-08),",Комплект Bosch AeroTwin (AR26U+AR16U),Комплект Bosch AeroTwin AR653S,Комплект Trico Ice (ICE650+ICE400),Комплект Denso Hybrid (DUR-065L+DU-040L),Комплект SWF VisioFlex 119780,Комплект Alca Super Flat (ASF65+ASF40),Комплект Heyner Hybrid (HG65+HG40),Комплект Hella Razor Hybrid (26+16),Комплект SWF VisioNext (119865+119840),Комплект Alca Winter (AW65+AW40),Комплект Trico NeoForm (NF650+NF400),Комплект Hella Dyna Blade (WBU26+WBU16)"
12,"Acura,ZDX,(10-12)",https://avto-dvorniki.ru/car/acura/zdx/0644/,Стеклоочистители для Acura ZDX (10-12),",Комплект Bosch AeroTwin (AR26U+AR19U),Комплект Denso Hybrid (DUR-065L+DUR-048L),Комплект Trico Ice (ICE650+ICE480),Комплект Alca Super Flat (ASF65+ASF48),Комплект Heyner Hybrid (HG65+HG48),Комплект Alca Winter (AW65+AW48),Комплект Trico NeoForm (NF650+NF480),Комплект Hella Razor Hybrid (26+19),Комплект SWF VisioNext (119865+119848),Комплект Hella Dyna Blade (WBU26+WBU19),Комплект Denso Flat (DFR-010+DFR-003)"
13,"Alfa Romeo,147,(05-10)",https://avto-dvorniki.ru/car/alfa_romeo/147/1573/,Стеклоочистители для Alfa Romeo 147 (05-10),",Комплект Trico Ice (ICE550+ICE400),Комплект Alca Super Flat (ASF56+ASF40),Комплект Heyner Hybrid (HG56+HG40),Комплект Alca Winter (AW56+AW40),Комплект Bosch AeroTwin A972S,Комплект Valeo HydroConnect Front (HF55+HF40),Комплект Valeo Silencio Flat VF354 / VM354,Комплект Trico NeoForm (NF556+NF406),Комплект Hella Dyna Blade (WBU22+WBU16),Комплект Champion Aerovantage Flat (AFL55B01+AFL40B01)"
14,"Alfa Romeo,147,(00-05)",https://avto-dvorniki.ru/car/alfa_romeo/147/1461/,Стеклоочистители для Alfa Romeo 147 (00-05),",Комплект Bosch AeroTwin AR552S,Комплект Trico Ice (ICE550+ICE400),Комплект Alca Super Flat (ASF56+ASF40),Комплект Heyner Hybrid (HG56+HG40),Комплект Hella Razor Hybrid (22+16),Комплект Alca Winter (AW56+AW40),Комплект SWF VisioNext (119855+119840),Комплект Trico NeoForm (NF550+NF400),Комплект Hella Dyna Blade (WBU22+WBU16)"
15,"Alfa Romeo,156,Sport Wagon (00-06)",https://avto-dvorniki.ru/car/alfa_romeo/156/0651/,Стеклоочистители для Alfa Romeo 156 Sport Wagon (00-06),",Комплект Bosch AeroTwin AR551S,Комплект Hella Razor Hybrid (22+20),Комплект Bosch AeroTwin (AR22U+AR20U),Комплект Trico Ice (ICE550+ICE500),Комплект Alca Super Flat (ASF56+ASF50),Комплект Heyner Hybrid (HG56+HG50),Комплект Alca Winter (AW56+AW50),Комплект SWF VisioNext (119855+119850),Комплект Denso Flat (DFR-006+DFR-004),Комплект Valeo HydroConnect Upgrade (HU55+HU50),Комплект SWF VisioFlex 119741,Комплект Hella Dyna Blade (WBU22+WBU20)"
16,"Alfa Romeo,156,Berlina (97-05)",https://avto-dvorniki.ru/car/alfa_romeo/156/0650/,Стеклоочистители для Alfa Romeo 156 Berlina (97-05),",Комплект Bosch AeroTwin AR551S,Комплект Hella Razor Hybrid (22+20),Комплект Bosch AeroTwin (AR22U+AR20U),Комплект Trico Ice (ICE550+ICE500),Комплект Alca Super Flat (ASF56+ASF50),Комплект Heyner Hybrid (HG56+HG50),Комплект Alca Winter (AW56+AW50),Комплект SWF VisioNext (119855+119850),Комплект Denso Flat (DFR-006+DFR-004),Комплект Trico NeoForm (NF550+NF500),Комплект Valeo HydroConnect Upgrade (HU55+HU50),Комплект SWF VisioFlex 119741,Комплект Hella Dyna Blade (WBU22+WBU20)"
17,"Alfa Romeo,159,(05-11)",https://avto-dvorniki.ru/car/alfa_romeo/159/0652/,Стеклоочистители для Alfa Romeo 159 (05-11),",Комплект Bosch AeroTwin Plus (AP575U+AP450U),Комплект Bosch AeroTwin A084S,Комплект Valeo HydroConnect Front (HF58+HF45),Комплект Heyner All Seasons (HAS58+HAS45),Комплект Hella Dyna Blade (WBU23+WBU18),Комплект Trico Force (TF550L+TF450L),Комплект Trico NeoForm (NF556+NF456)"
18,"Alfa Romeo,Brera,(05-10)",https://avto-dvorniki.ru/car/alfa_romeo/brera/0653/,Стеклоочистители для Alfa Romeo Brera (05-10),",Комплект Bosch AeroTwin Plus (AP575U+AP450U),Комплект Trico Ice (ICE550+ICE450),Комплект Alca Super Flat (ASF56+ASF45),Комплект Heyner Hybrid (HG56+HG45),Комплект Hella Dyna Blade (WBU22+WBU18),Комплект Alca Winter (AW56+AW45),Комплект Bosch AeroTwin A084S,Комплект Valeo HydroConnect Front (HF58+HF45),Комплект Heyner All Seasons (HAS58+HAS45),Комплект Trico Force (TF550L+TF450L),Комплект Trico NeoForm (NF556+NF456)"
19,"Alfa Romeo,Giulia,(16-)",https://avto-dvorniki.ru/car/alfa_romeo/giulia/1767/,Стеклоочистители для Alfa Romeo Giulia (16-),",Комплект Bosch AeroTwin A318S"
20,"Alfa Romeo,Giulietta,(10-)",https://avto-dvorniki.ru/car/alfa_romeo/giulietta/0654/,Стеклоочистители для Alfa Romeo Giulietta (10-),",Комплект Bosch AeroTwin A187S,Комплект Bosch AeroTwin Plus (AP575U+AP450U),Комплект Valeo Silencio Flat VF441 / VM441,Комплект SWF VisioFlex 119298,Комплект Heyner All Seasons (HAS58+HAS45),Комплект Hella Dyna Blade (WBU23+WBU18),Комплект Denso Flat DF-030,Комплект Trico Force (TF600L+TF450L)"
21,"Alfa Romeo,GT,(05-10)",https://avto-dvorniki.ru/car/alfa_romeo/gt/1686/,Стеклоочистители для Alfa Romeo GT (05-10),",Комплект Bosch AeroTwin Plus (AP550U+AP400U),Комплект Trico Ice (ICE550+ICE400),Комплект Alca Super Flat (ASF56+ASF40),Комплект Heyner Hybrid (HG56+HG40),Комплект Heyner All Seasons (HAS56+HAS40),Комплект Alca Winter (AW56+AW40),Комплект Bosch AeroTwin A972S,Комплект Valeo HydroConnect Front (HF55+HF40),Комплект Trico NeoForm (NF556+NF406),Комплект Hella Dyna Blade (WBU22+WBU16)"
22,"Alfa Romeo,GT,(03-05)",https://avto-dvorniki.ru/car/alfa_romeo/gt/1685/,Стеклоочистители для Alfa Romeo GT (03-05),",Комплект Bosch AeroTwin (AR22U+AR16U),Комплект Bosch AeroTwin AR552S,Комплект Trico Ice (ICE550+ICE400),Комплект Denso Hybrid (DUR-055L+DU-040L),Комплект Alca Super Flat (ASF56+ASF40),Комплект Heyner Hybrid (HG56+HG40),Комплект Hella Razor Hybrid (22+16),Комплект Heyner All Seasons (HAS56+HAS40),Комплект Alca Winter (AW56+AW40),Комплект SWF VisioNext (119855+119840),Комплект Denso Flat (DFR-006+DFR-001),Комплект Trico NeoForm (NF550+NF400),Комплект Hella Dyna Blade (WBU22+WBU16)"
23,"Alfa Romeo,MiTo,1 пок., (08-)",https://avto-dvorniki.ru/car/alfa_romeo/mito/1815/,"Стеклоочистители для Alfa Romeo MiTo 1 пок., (08-)",",Комплект Bosch AeroTwin Plus (AP600U+AP400U),Комплект Bosch AeroTwin A579S,Комплект Heyner Hybrid (HG60+HG40),Комплект Valeo HydroConnect Front (HF60+HF40),Комплект Valeo Silencio Flat VF372 / VM372,Комплект Denso Flat DF-069"
24,"Alfa Romeo,Spider,(06-11)",https://avto-dvorniki.ru/car/alfa_romeo/spider/1684/,Стеклоочистители для Alfa Romeo Spider (06-11),",Комплект Bosch AeroTwin Plus (AP575U+AP450U),Комплект Trico Ice (ICE550+ICE450),Комплект Alca Super Flat (ASF56+ASF45),Комплект Heyner Hybrid (HG56+HG45),Комплект Heyner All Seasons (HAS56+HAS45),Комплект Hella Dyna Blade (WBU22+WBU18),Комплект Alca Winter (AW56+AW45),Комплект Bosch AeroTwin A084S,Комплект Valeo HydroConnect Front (HF58+HF45),Комплект Trico NeoForm (NF556+NF456)"
25,"Audi,100,C4 (90-94) универсал",https://avto-dvorniki.ru/car/audi/100/0451/,Стеклоочистители для Audi 100 C4 (90-94) универсал,",Комплект Bosch AeroTwin AR550S,Комплект Hella Razor Hybrid (22+22),Комплект Bosch AeroTwin (AR22U+AR21U),Комплект Trico Ice (ICE550+ICE550),Комплект SWF VisioNext (119855+119855),Комплект Trico NeoForm (NF550+NF550),Комплект Valeo HydroConnect Upgrade (HU55+HU55),Комплект Hella Dyna Blade (WBU22+WBU22),Комплект Trico Force (TF550L+TF550L)"
26,"Audi,100,C4 (90-94) седан",https://avto-dvorniki.ru/car/audi/100/0450/,Стеклоочистители для Audi 100 C4 (90-94) седан,",Комплект Bosch AeroTwin AR550S,Комплект Hella Razor Hybrid (22+22),Комплект Bosch AeroTwin (AR22U+AR21U),Комплект Trico Ice (ICE550+ICE550),Комплект SWF VisioNext (119855+119855),Комплект Trico NeoForm (NF550+NF550),Комплект Valeo HydroConnect Upgrade (HU55+HU55),Комплект Hella Dyna Blade (WBU22+WBU22)"
27,"Audi,100,C3 (82-90) универсал",https://avto-dvorniki.ru/car/audi/100/0449/,Стеклоочистители для Audi 100 C3 (82-90) универсал,",Комплект Bosch AeroTwin AR530S,Комплект Bosch AeroTwin (AR21U+AR21U),Комплект Trico Ice (ICE530+ICE530),Комплект Denso Hybrid (DUR-053L+DUR-053L),Комплект Alca Super Flat (ASF53+ASF53),Комплект Heyner Hybrid (HG53+HG53),Комплект Alca Winter (AW53+AW53),Комплект Trico NeoForm (NF530+NF530),Комплект Hella Razor Hybrid (21+21),Комплект Hella Dyna Blade (WBU21+WBU21),Комплект SWF VisioNext (119853+119853),Комплект Trico Force (TF530L+TF530L)"
